student_id,student_name,language,matched,not_matched,line_count,comment_count,function_count
2105224,Bruce Banner 1000004,C,4,1,24,1,
2105221,Carol Danvers 1000001,C,3,2,21,1,
2105228,Clint Barton 1000008,C,5,0,26,2,
2105258,Harvey Oswald 1000010,Python,4,1,14,1,
2105225,Matthew Murdock 1000005,C++,5,0,27,1,
2105229,Natasha Romanoff 1000009,C++,2,3,23,0,
2105222,Peter Parker 1000002,C++,1,4,23,2,
2105219,Sammy Adams 1000013,Python,5,0,18,2,
2105223,Stephen Strange 1000003,Java,5,0,29,2,
2105227,Steven Rogers 1000007,Java,3,2,24,1,
2105230,Thor Odinson 1000010,Java,3,2,29,0,
2105226,Tony Stark 1000006,Python,3,2,15,1,
